y/t.1; p2 (kPa); p02 (kPa); a2 (°); z (1); w (1); ds (J/kgK); T (K)
0.0;75.477;98.023;47.227;0.015;0.012;1.185;274.107
0.0024;75.578;97.994;48.346;0.016;0.013;1.268;274.234
0.0047;75.612;97.975;48.678;0.017;0.013;1.325;274.285
0.0071;75.615;97.955;48.753;0.018;0.014;1.382;274.303
0.0094;75.627;97.939;48.759;0.018;0.014;1.43;274.33
0.0118;75.651;97.921;48.764;0.019;0.015;1.482;274.368
0.0142;75.669;97.901;48.783;0.02;0.016;1.543;274.404
0.0165;75.683;97.876;48.799;0.021;0.016;1.614;274.438
0.0189;75.694;97.849;48.805;0.022;0.017;1.694;274.471
0.0212;75.701;97.822;48.81;0.023;0.018;1.772;274.5
0.0236;75.708;97.801;48.814;0.023;0.018;1.835;274.524
0.026;75.723;97.789;48.895;0.024;0.019;1.87;274.549
0.0283;75.732;97.788;48.906;0.024;0.019;1.872;274.559
0.0307;75.739;97.799;48.897;0.024;0.019;1.84;274.557
0.033;75.746;97.819;48.88;0.023;0.018;1.781;274.548
0.0354;75.753;97.845;48.879;0.022;0.017;1.706;274.535
0.0378;75.761;97.873;48.878;0.021;0.016;1.624;274.521
0.0401;75.769;97.9;48.888;0.02;0.016;1.543;274.507
0.0425;75.774;97.925;48.899;0.019;0.015;1.472;274.493
0.0448;75.776;97.944;48.916;0.018;0.014;1.415;274.479
0.0472;75.775;97.957;48.934;0.018;0.014;1.376;274.468
0.0496;75.773;97.964;48.946;0.017;0.014;1.358;274.461
0.0519;75.773;97.962;48.962;0.017;0.014;1.363;274.462
0.0543;75.771;97.953;48.968;0.018;0.014;1.39;274.468
0.0566;75.771;97.936;48.985;0.018;0.014;1.438;274.481
0.059;75.769;97.914;48.988;0.019;0.015;1.504;274.496
0.0614;75.769;97.888;49.007;0.02;0.016;1.579;274.517
0.0637;75.767;97.862;49.013;0.021;0.017;1.656;274.536
0.0661;75.767;97.838;49.028;0.022;0.017;1.725;274.555
0.0684;75.768;97.821;49.038;0.023;0.018;1.776;274.569
0.0708;75.769;97.812;49.051;0.023;0.018;1.804;274.578
0.0732;75.771;97.812;49.065;0.023;0.018;1.803;274.581
0.0755;75.773;97.822;49.069;0.023;0.018;1.774;274.574
0.0779;75.776;97.839;49.084;0.022;0.017;1.723;274.563
0.0802;75.776;97.861;49.085;0.021;0.017;1.658;274.546
0.0826;75.777;97.884;49.095;0.02;0.016;1.591;274.529
0.085;75.776;97.904;49.092;0.02;0.015;1.532;274.512
0.0873;75.777;97.918;49.096;0.019;0.015;1.492;274.502
0.0897;75.78;97.923;49.096;0.019;0.015;1.477;274.5
0.092;75.783;97.919;49.095;0.019;0.015;1.489;274.507
0.0944;75.79;97.906;49.098;0.02;0.015;1.526;274.524
0.0968;75.795;97.887;49.092;0.02;0.016;1.583;274.545
0.0991;75.803;97.864;49.099;0.021;0.017;1.65;274.571
0.1015;75.807;97.842;49.093;0.022;0.017;1.716;274.594
0.1038;75.814;97.825;49.101;0.023;0.018;1.765;274.614
0.1062;75.82;97.816;49.102;0.023;0.018;1.791;274.628
0.1086;75.827;97.818;49.106;0.023;0.018;1.786;274.634
0.1109;75.835;97.829;49.111;0.023;0.018;1.751;274.632
0.1133;75.843;97.848;49.109;0.022;0.017;1.696;274.626
0.1156;75.853;97.869;49.118;0.021;0.016;1.636;274.619
0.118;75.859;97.887;49.114;0.02;0.016;1.582;274.611
0.1204;75.867;97.899;49.124;0.02;0.016;1.547;274.609
0.1227;75.871;97.903;49.122;0.02;0.015;1.536;274.61
0.1251;75.875;97.899;49.132;0.02;0.016;1.548;274.619
0.1274;75.88;97.889;49.138;0.02;0.016;1.576;274.631
