y/t.1; p2 (kPa); p02 (kPa); a2 (°); z (1); w (1); ds (J/kgK); T (K)
0.0;77.488;95.139;46.383;0.115;0.079;7.887;279.295
0.0024;77.535;95.04;46.391;0.119;0.082;8.185;279.426
0.0048;77.542;95.017;46.399;0.12;0.083;8.256;279.452
0.0072;77.55;95.009;46.405;0.121;0.083;8.281;279.467
0.0095;77.56;95.049;46.411;0.119;0.082;8.158;279.444
0.0119;77.567;95.117;46.417;0.116;0.08;7.954;279.394
0.0143;77.573;95.2;46.422;0.112;0.077;7.703;279.33
0.0167;77.575;95.28;46.428;0.109;0.075;7.462;279.266
0.0191;77.575;95.34;46.434;0.106;0.073;7.282;279.215
0.0215;77.575;95.37;46.439;0.105;0.072;7.191;279.191
0.0239;77.58;95.378;46.445;0.105;0.072;7.166;279.188
0.0263;77.582;95.377;46.45;0.105;0.072;7.17;279.192
0.0287;77.581;95.379;46.456;0.105;0.072;7.165;279.19
0.031;77.582;95.395;46.461;0.104;0.072;7.118;279.177
0.0334;77.583;95.436;46.467;0.102;0.07;6.994;279.144
0.0358;77.583;95.498;46.473;0.099;0.068;6.805;279.091
0.0382;77.581;95.576;46.482;0.096;0.066;6.571;279.024
0.0406;77.578;95.663;46.495;0.092;0.064;6.311;278.949
0.043;77.574;95.752;46.507;0.088;0.061;6.045;278.872
0.0454;77.571;95.83;46.521;0.085;0.059;5.81;278.803
0.0478;77.568;95.893;46.534;0.082;0.057;5.621;278.747
0.0501;77.564;95.939;46.551;0.08;0.055;5.484;278.706
0.0525;77.561;95.966;46.568;0.079;0.055;5.403;278.68
0.0549;77.559;95.978;46.59;0.078;0.054;5.366;278.667
0.0573;77.559;95.986;46.611;0.078;0.054;5.344;278.661
0.0597;77.56;95.998;46.634;0.077;0.054;5.307;278.652
0.0621;77.561;96.024;46.661;0.076;0.053;5.23;278.632
0.0645;77.562;96.071;46.69;0.074;0.051;5.088;278.594
0.0669;77.564;96.141;46.721;0.071;0.049;4.878;278.537
0.0693;77.565;96.231;46.751;0.067;0.047;4.611;278.465
0.0716;77.567;96.334;46.782;0.063;0.044;4.305;278.381
0.074;77.568;96.441;46.807;0.058;0.04;3.985;278.294
0.0764;77.569;96.543;46.831;0.054;0.037;3.683;278.212
0.0788;77.572;96.631;46.855;0.05;0.035;3.42;278.141
0.0812;77.575;96.701;46.88;0.047;0.033;3.211;278.087
0.0836;77.579;96.749;46.905;0.045;0.031;3.071;278.052
0.086;77.584;96.771;46.925;0.044;0.03;3.004;278.039
0.0884;77.59;96.77;46.943;0.044;0.03;3.006;278.045
0.0907;77.595;96.75;46.955;0.045;0.031;3.068;278.068
0.0931;77.602;96.715;46.968;0.046;0.032;3.172;278.104
0.0955;77.609;96.677;46.974;0.048;0.033;3.284;278.142
0.0979;77.617;96.648;46.973;0.049;0.034;3.37;278.173
0.1003;77.623;96.635;46.966;0.05;0.034;3.407;278.19
0.1027;77.628;96.642;46.956;0.05;0.034;3.388;278.19
0.1051;77.633;96.664;46.944;0.049;0.034;3.321;278.177
0.1075;77.639;96.691;46.926;0.047;0.033;3.242;278.16
0.1099;77.645;96.711;46.912;0.047;0.032;3.183;278.15
0.1122;77.651;96.717;46.892;0.046;0.032;3.164;278.151
0.1146;77.657;96.711;46.872;0.047;0.032;3.184;278.163
0.117;77.665;96.695;46.844;0.047;0.033;3.229;278.183
0.1194;77.672;96.683;46.816;0.048;0.033;3.266;278.202
0.1218;77.68;96.682;46.79;0.048;0.033;3.27;278.211
0.1242;77.688;96.695;46.766;0.047;0.033;3.229;278.207
0.1266;77.695;96.722;46.745;0.046;0.032;3.149;278.192
0.1289;77.702;96.758;46.725;0.045;0.031;3.042;278.17
0.1313;77.709;96.794;46.71;0.043;0.03;2.935;278.148
0.1337;77.715;96.823;46.697;0.042;0.029;2.851;278.13
0.1361;77.72;96.838;46.688;0.041;0.028;2.805;278.123
0.1385;77.724;96.84;46.68;0.041;0.028;2.799;278.125
0.1409;77.726;96.83;46.68;0.042;0.029;2.828;278.135
0.1433;77.728;96.819;46.682;0.042;0.029;2.863;278.147
0.1457;77.729;96.816;46.686;0.042;0.029;2.872;278.151
0.1481;77.73;96.83;46.695;0.042;0.029;2.828;278.14
0.1504;77.731;96.866;46.706;0.04;0.028;2.724;278.112
0.1528;77.731;96.92;46.723;0.038;0.026;2.562;278.066
0.1552;77.729;96.984;46.741;0.035;0.024;2.374;278.013
0.1576;77.726;97.043;46.759;0.032;0.022;2.2;277.961
0.16;77.723;97.089;46.775;0.03;0.021;2.062;277.92
0.1624;77.718;97.12;46.786;0.029;0.02;1.972;277.89
0.1648;77.713;97.135;46.795;0.028;0.02;1.926;277.873
0.1672;77.709;97.142;46.805;0.028;0.019;1.905;277.862
0.1695;77.704;97.149;46.821;0.028;0.019;1.886;277.852
0.1719;77.699;97.157;46.838;0.027;0.019;1.862;277.841
0.1743;77.693;97.167;46.857;0.027;0.019;1.832;277.826
0.1767;77.688;97.176;46.869;0.026;0.018;1.804;277.813
0.1791;77.684;97.182;46.881;0.026;0.018;1.788;277.805
0.1815;77.681;97.181;46.887;0.026;0.018;1.792;277.802
0.1839;77.679;97.173;46.894;0.027;0.018;1.814;277.806
0.1863;77.677;97.159;46.899;0.027;0.019;1.855;277.816
0.1887;77.675;97.143;46.908;0.028;0.019;1.903;277.828
0.191;77.674;97.129;46.917;0.028;0.02;1.945;277.838
0.1934;77.671;97.12;46.931;0.029;0.02;1.971;277.842
0.1958;77.668;97.118;46.949;0.029;0.02;1.976;277.841
0.1982;77.666;97.127;46.968;0.029;0.02;1.951;277.832
0.2006;77.664;97.144;46.992;0.028;0.019;1.899;277.815
0.203;77.661;97.166;47.01;0.027;0.019;1.834;277.794
0.2054;77.658;97.19;47.026;0.026;0.018;1.765;277.772
0.2078;77.655;97.214;47.039;0.025;0.017;1.692;277.748
0.2101;77.652;97.237;47.053;0.024;0.017;1.625;277.727
0.2125;77.648;97.258;47.07;0.023;0.016;1.564;277.706
0.2149;77.644;97.279;47.091;0.022;0.015;1.502;277.685
0.2173;77.639;97.301;47.118;0.021;0.015;1.437;277.662
0.2197;77.635;97.32;47.14;0.02;0.014;1.38;277.642
0.2221;77.63;97.334;47.167;0.02;0.014;1.34;277.626
0.2245;77.622;97.339;47.188;0.019;0.013;1.325;277.614
0.2269;77.613;97.333;47.209;0.02;0.014;1.34;277.608
0.2293;77.602;97.316;47.221;0.02;0.014;1.391;277.611
0.2316;77.591;97.291;47.234;0.021;0.015;1.467;277.621
0.234;77.579;97.261;47.249;0.023;0.016;1.555;277.633
0.2364;77.567;97.229;47.264;0.024;0.017;1.648;277.646
0.2388;77.556;97.199;47.285;0.025;0.018;1.736;277.659
0.2412;77.544;97.174;47.307;0.026;0.018;1.812;277.668
0.2436;77.532;97.155;47.335;0.027;0.019;1.867;277.671
0.246;77.52;97.145;47.361;0.028;0.019;1.897;277.668
0.2483;77.51;97.146;47.392;0.028;0.019;1.895;277.657
0.2507;77.501;97.159;47.417;0.027;0.019;1.854;277.636
0.2531;77.492;97.186;47.441;0.026;0.018;1.775;277.605
0.2555;77.484;97.223;47.469;0.024;0.017;1.667;277.567
0.2579;77.476;97.264;47.496;0.022;0.016;1.546;277.525
0.2603;77.469;97.304;47.527;0.021;0.014;1.426;277.485
0.2627;77.462;97.338;47.555;0.019;0.013;1.327;277.451
0.2651;77.456;97.361;47.59;0.018;0.013;1.258;277.425
0.2675;77.45;97.375;47.621;0.018;0.012;1.218;277.408
0.2698;77.446;97.381;47.653;0.017;0.012;1.2;277.399
0.2722;77.444;97.383;47.684;0.017;0.012;1.194;277.395
0.2746;77.442;97.384;47.712;0.017;0.012;1.191;277.392
0.277;77.442;97.387;47.736;0.017;0.012;1.184;277.39
0.2794;77.443;97.392;47.755;0.017;0.012;1.169;277.387
0.2818;77.446;97.399;47.773;0.017;0.012;1.147;277.385
0.2842;77.45;97.407;47.784;0.016;0.011;1.125;277.382
0.2866;77.456;97.413;47.8;0.016;0.011;1.105;277.383
0.2889;77.464;97.418;47.814;0.016;0.011;1.091;277.387
0.2913;77.472;97.419;47.829;0.016;0.011;1.087;277.394
0.2937;77.479;97.42;47.837;0.016;0.011;1.086;277.401
0.2961;77.485;97.422;47.841;0.016;0.011;1.081;277.406
0.2985;77.49;97.428;47.846;0.015;0.011;1.061;277.406
0.3009;77.494;97.442;47.845;0.015;0.01;1.019;277.399
0.3033;77.498;97.465;47.848;0.014;0.01;0.954;277.384
0.3057;77.5;97.491;47.844;0.013;0.009;0.877;277.364
0.3081;77.501;97.517;47.842;0.012;0.008;0.801;277.345
0.3104;77.501;97.537;47.836;0.011;0.008;0.742;277.329
0.3128;77.502;97.547;47.833;0.01;0.007;0.712;277.322
0.3152;77.502;97.547;47.83;0.01;0.007;0.713;277.321
0.3176;77.501;97.54;47.833;0.011;0.007;0.733;277.326
0.32;77.5;97.531;47.838;0.011;0.008;0.758;277.332
0.3224;77.498;97.525;47.84;0.011;0.008;0.775;277.335
0.3248;77.496;97.525;47.844;0.011;0.008;0.775;277.332
