"Ma","Points:0","Points:1","Points:2","T","U:0","U:1","U:2","p"
0.5027,0.13355,-0.0016375,0.01,288.66,171.17,-1.7586,-4.2576e-16,75845
0.49864,0.13364,-0.0015336,0.01,288.95,169.87,-1.8531,-4.712e-16,75843
0.61686,0.12971,-0.0059833,0.01,281.69,207.53,-2.5336,1.1977e-16,75945
0.61316,0.13031,-0.0052987,0.01,281.85,206.35,-2.4452,1.2743e-16,75954
0.60799,0.14164,0.0075038,0.01,281.87,204.61,-2.8934,2.5737e-16,75811
0.61371,0.14262,0.0086128,0.01,281.64,206.45,-2.7563,3.7872e-16,75801
0.54827,0.13266,-0.0026507,0.01,285.73,185.74,-1.5529,1.2813e-16,75843
0.62985,0.12234,-0.014319,0.01,280.91,211.61,-2.5445,1.0993e-16,75903
0.62913,0.12292,-0.013656,0.01,280.96,211.39,-2.5471,2.1405e-17,75905
0.62077,0.12857,-0.007266,0.01,281.51,208.78,-2.6123,1.7223e-16,75944
0.61987,0.129,-0.0067894,0.01,281.55,208.49,-2.6029,1.2731e-16,75945
0.6303,0.11552,-0.022026,0.01,280.85,211.74,-2.4403,2.9565e-16,75860
0.63097,0.11611,-0.021354,0.01,280.81,211.95,-2.4582,1.0253e-16,75862
0.59916,0.14076,0.0065168,0.01,282.27,201.78,-3.0267,2.8483e-16,75819
0.60774,0.14161,0.0074775,0.01,281.88,204.53,-2.8979,2.617e-16,75811
0.60615,0.13086,-0.0046847,0.01,282.22,204.12,-2.3434,6.5072e-17,75951
0.58651,0.13165,-0.0037889,0.01,283.4,197.91,-1.9329,1.3379e-16,75929
0.56822,0.13226,-0.0030995,0.01,284.53,192.12,-1.6009,2.654e-16,75888
0.6237,0.1119,-0.026118,0.01,281.26,209.68,-2.24,1.6288e-16,75865
0.62393,0.11206,-0.025934,0.01,281.24,209.75,-2.2484,1.6229e-16,75864
0.47053,0.13447,-0.00059966,0.01,291.14,160.92,-2.1468,-7.6122e-16,75886
0.46348,0.13517,0.00019661,0.01,291.95,158.73,-2.7207,-8.9813e-16,75988
0.6142,0.1427,0.00871,0.01,281.61,206.61,-2.7521,4.0496e-16,75801
0.62815,0.11416,-0.023566,0.01,280.99,211.07,-2.3763,1.8147e-16,75856
0.62946,0.11488,-0.022746,0.01,280.91,211.48,-2.4163,1.3631e-16,75860
0.6267,0.12471,-0.011638,0.01,281.13,210.63,-2.5794,1.6209e-16,75919
0.62627,0.12503,-0.011279,0.01,281.16,210.5,-2.5845,6.7112e-17,75920
0.63207,0.11862,-0.018516,0.01,280.75,212.3,-2.5155,2.2002e-16,75877
0.63203,0.11906,-0.01802,0.01,280.76,212.29,-2.521,1.4502e-16,75880
0.58319,0.13975,0.0053691,0.01,283.25,196.73,-3.1967,4.2847e-16,75905
0.62004,0.14406,0.010246,0.01,281.37,208.48,-2.6255,5.1964e-16,75805
0.62018,0.14411,0.010296,0.01,281.36,208.53,-2.6208,5.1193e-16,75805
0.62321,0.12712,-0.0089141,0.01,281.37,209.55,-2.6153,5.8811e-17,75933
0.62235,0.12769,-0.0082648,0.01,281.42,209.28,-2.6194,8.9047e-18,75935
0.62813,0.11415,-0.023572,0.01,280.99,211.07,-2.3759,1.8483e-16,75856
0.62467,0.11262,-0.025306,0.01,281.2,209.98,-2.2725,1.795e-16,75861
0.62595,0.1131,-0.024761,0.01,281.12,210.38,-2.3062,2.7188e-16,75859
0.62692,0.11356,-0.024241,0.01,281.06,210.69,-2.3312,3.5009e-16,75856
0.63149,0.11676,-0.020623,0.01,280.78,212.11,-2.4767,9.542e-17,75865
0.63185,0.11739,-0.019908,0.01,280.76,212.23,-2.4917,2.0111e-16,75868
0.62349,0.14517,0.011499,0.01,281.18,209.58,-2.5131,2.7308e-16,75796
0.62949,0.11491,-0.022721,0.01,280.91,211.49,-2.4171,1.4247e-16,75860
0.48794,0.13682,0.0020562,0.01,290.07,166.54,-3.7628,-7.1576e-16,75888
0.51454,0.13769,0.003046,0.01,287.85,174.94,-3.7396,3.567e-16,75879
0.48381,0.13409,-0.0010283,0.01,290.11,165.15,-2.0043,-6.2185e-16,75870
0.6241,0.12652,-0.0095912,0.01,281.32,209.83,-2.6033,8.9095e-17,75929
0.62734,0.12424,-0.01217,0.01,281.08,210.83,-2.5691,3.4759e-16,75915
0.53823,0.13833,0.0037674,0.01,286.2,182.46,-3.564,5.5788e-16,75922
0.62435,0.12635,-0.0097822,0.01,281.3,209.91,-2.601,6.5939e-17,75928
0.63201,0.11915,-0.017926,0.01,280.76,212.28,-2.5221,1.1254e-16,75881
0.63184,0.11971,-0.017287,0.01,280.77,212.23,-2.5286,-1.1841e-16,75885
0.46855,0.13586,0.0009765,0.01,291.67,160.38,-3.2387,-1.1739e-15,75971
0.48425,0.1367,0.001927,0.01,290.36,165.37,-3.7635,-8.0315e-16,75897
0.55478,0.13878,0.0042781,0.01,285.04,187.72,-3.5206,7.4567e-16,75947
0.58024,0.13965,0.005257,0.01,283.44,195.8,-3.2241,4.5046e-16,75912
0.46689,0.13578,0.00088601,0.01,291.79,159.85,-3.1778,-1.2488e-15,75975
0.62138,0.12832,-0.0075586,0.01,281.48,208.98,-2.6198,2.1647e-16,75942
0.63137,0.12065,-0.016221,0.01,280.81,212.08,-2.5366,-5.5487e-17,75893
