"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","p"
0.11714,-0.020198,5e-05,281.59,207.56,-10.847,-1.2812e-14,1.4491e+05
0.11717,-0.02016,5e-05,281.59,207.56,-10.847,-1.1482e-14,1.4491e+05
0.11741,-0.019885,5.0001e-05,281.59,207.57,-10.847,-1.9689e-16,1.4491e+05
0.11746,-0.019828,5.0001e-05,281.59,207.58,-10.847,-9.1555e-16,1.4491e+05
0.11769,-0.019571,5.0002e-05,281.58,207.6,-10.848,-1.2099e-14,1.4491e+05
0.11776,-0.019492,5.0002e-05,281.58,207.61,-10.848,-9.4056e-15,1.4491e+05
0.11797,-0.019257,5.0002e-05,281.58,207.63,-10.849,5.3309e-15,1.4491e+05
0.11806,-0.019153,5.0003e-05,281.57,207.64,-10.849,2.0965e-15,1.4491e+05
0.11825,-0.018943,5.0003e-05,281.57,207.66,-10.85,1.4022e-15,1.4491e+05
0.11836,-0.01881,5.0003e-05,281.57,207.68,-10.85,9.2841e-16,1.4491e+05
0.11852,-0.018629,5.0004e-05,281.56,207.69,-10.851,3.9256e-16,1.4491e+05
0.11867,-0.018463,5.0004e-05,281.56,207.71,-10.851,2.0343e-16,1.4491e+05
0.1188,-0.018315,5.0005e-05,281.56,207.73,-10.852,-6.1653e-15,1.449e+05
0.11898,-0.018113,5.0005e-05,281.55,207.75,-10.852,-8.8156e-15,1.449e+05
0.11908,-0.018002,5.0005e-05,281.55,207.76,-10.852,-7.5848e-15,1.449e+05
0.11929,-0.017759,5.0006e-05,281.54,207.79,-10.853,-5.7312e-15,1.449e+05
0.11936,-0.017688,5.0006e-05,281.54,207.79,-10.853,-6.0121e-15,1.449e+05
0.11961,-0.017402,5.0007e-05,281.54,207.83,-10.854,-6.1472e-15,1.449e+05
0.11963,-0.017374,5.0007e-05,281.54,207.83,-10.854,-5.9796e-15,1.449e+05
0.11991,-0.01706,5.0008e-05,281.53,207.87,-10.855,-7.8486e-15,1.449e+05
0.11993,-0.01704,5.0008e-05,281.53,207.87,-10.855,-7.2062e-15,1.449e+05
0.12019,-0.016746,5.0008e-05,281.52,207.9,-10.856,2.0157e-15,1.449e+05
0.12025,-0.016675,5.0009e-05,281.52,207.91,-10.856,-1.7118e-16,1.449e+05
0.12047,-0.016432,5.0009e-05,281.51,207.94,-10.857,-7.5146e-16,1.449e+05
0.12058,-0.016305,5.001e-05,281.51,207.96,-10.858,-2.0666e-15,1.449e+05
0.12074,-0.016119,5.001e-05,281.51,207.99,-10.858,-1.723e-15,1.449e+05
0.12091,-0.015932,5.001e-05,281.5,208.01,-10.859,1.435e-15,1.4489e+05
0.12102,-0.015805,5.0011e-05,281.5,208.03,-10.859,-1.4246e-16,1.4489e+05
0.12124,-0.015554,5.0011e-05,281.49,208.07,-10.86,3.2965e-15,1.4489e+05
0.1213,-0.015491,5.0011e-05,281.49,208.07,-10.86,3.6441e-15,1.4489e+05
0.12158,-0.015177,5.0012e-05,281.48,208.12,-10.861,-1.1905e-14,1.4489e+05
0.12158,-0.015173,5.0012e-05,281.48,208.12,-10.861,-1.2004e-14,1.4489e+05
0.12185,-0.014863,5.0013e-05,281.48,208.17,-10.862,-5.9204e-15,1.4489e+05
0.12192,-0.014787,5.0013e-05,281.47,208.18,-10.862,-3.3709e-15,1.4489e+05
0.12213,-0.014549,5.0014e-05,281.47,208.22,-10.862,-3.7995e-16,1.4489e+05
0.12227,-0.014397,5.0014e-05,281.46,208.25,-10.863,1.4099e-15,1.4489e+05
0.12241,-0.014236,5.0014e-05,281.46,208.27,-10.863,2.3213e-15,1.4489e+05
0.12262,-0.014002,5.0015e-05,281.46,208.32,-10.864,3.6653e-15,1.4489e+05
0.12269,-0.013922,5.0015e-05,281.45,208.33,-10.864,1.488e-15,1.4489e+05
0.12297,-0.013608,5.0016e-05,281.45,208.39,-10.864,-3.9522e-15,1.4488e+05
0.12297,-0.013604,5.0016e-05,281.45,208.39,-10.864,-3.8359e-15,1.4488e+05
0.12324,-0.013294,5.0017e-05,281.44,208.44,-10.865,1.1965e-14,1.4488e+05
0.12333,-0.0132,5.0017e-05,281.44,208.46,-10.865,8.9203e-15,1.4488e+05
0.12352,-0.01298,5.0017e-05,281.43,208.5,-10.865,2.8272e-15,1.4488e+05
0.12369,-0.012792,5.0018e-05,281.43,208.53,-10.865,1.8338e-16,1.4488e+05
0.1238,-0.012666,5.0018e-05,281.42,208.56,-10.865,-1.5492e-15,1.4488e+05
0.12405,-0.01238,5.0019e-05,281.42,208.61,-10.865,-5.4066e-15,1.4488e+05
0.12408,-0.012353,5.0019e-05,281.42,208.62,-10.864,-5.3689e-15,1.4488e+05
0.12435,-0.012039,5.0019e-05,281.41,208.67,-10.864,3.5757e-15,1.4488e+05
0.12442,-0.011963,5.002e-05,281.41,208.68,-10.863,2.5091e-15,1.4488e+05
0.12463,-0.011725,5.002e-05,281.41,208.73,-10.862,-2.9678e-15,1.4487e+05
0.12479,-0.011541,5.0021e-05,281.4,208.76,-10.861,-5.3077e-15,1.4487e+05
0.12491,-0.011411,5.0021e-05,281.4,208.78,-10.861,-5.7033e-15,1.4487e+05
0.12517,-0.011114,5.0022e-05,281.4,208.82,-10.858,8.4066e-17,1.4487e+05
0.12519,-0.011097,5.0022e-05,281.4,208.82,-10.858,3.825e-16,1.4487e+05
0.12546,-0.010784,5.0022e-05,281.4,208.86,-10.855,5.9172e-15,1.4487e+05
0.12555,-0.010683,5.0023e-05,281.4,208.87,-10.853,3.1138e-15,1.4487e+05
0.12574,-0.01047,5.0023e-05,281.4,208.89,-10.851,-4.3451e-15,1.4487e+05
0.12594,-0.010246,5.0023e-05,281.4,208.91,-10.847,6.0094e-17,1.4487e+05
0.12602,-0.010156,5.0024e-05,281.4,208.92,-10.845,1.6326e-15,1.4487e+05
0.1263,-0.0098421,5.0024e-05,281.4,208.93,-10.839,-2.3734e-15,1.4487e+05
0.12633,-0.0098042,5.0024e-05,281.4,208.93,-10.838,-2.1556e-15,1.4487e+05
0.12657,-0.0095283,5.0025e-05,281.41,208.92,-10.831,2.4963e-15,1.4486e+05
0.12672,-0.0093573,5.0025e-05,281.42,208.91,-10.825,1.9457e-15,1.4486e+05
0.12685,-0.0092144,5.0026e-05,281.42,208.9,-10.821,1.8158e-16,1.4486e+05
0.12712,-0.0089052,5.0026e-05,281.44,208.86,-10.809,-3.6406e-15,1.4486e+05
0.12713,-0.0089006,5.0026e-05,281.44,208.86,-10.809,-3.6359e-15,1.4486e+05
0.12741,-0.0085868,5.0027e-05,281.46,208.78,-10.794,-1.8378e-15,1.4486e+05
0.12753,-0.0084478,5.0027e-05,281.47,208.74,-10.786,-1.0675e-16,1.4486e+05
0.12768,-0.008273,5.0028e-05,281.49,208.68,-10.777,-7.6333e-16,1.4486e+05
0.12794,-0.0079849,5.0028e-05,281.52,208.55,-10.757,-1.9802e-15,1.4486e+05
0.12796,-0.0079592,5.0029e-05,281.53,208.53,-10.756,-2.0884e-15,1.4486e+05
0.12824,-0.0076453,5.0029e-05,281.58,208.34,-10.731,-2.3165e-15,1.4486e+05
0.12835,-0.0075165,5.0029e-05,281.6,208.23,-10.719,-1.6591e-15,1.4486e+05
0.12852,-0.0073315,5.003e-05,281.64,208.08,-10.701,1.9648e-16,1.4486e+05
0.12877,-0.0070424,5.003e-05,281.71,207.77,-10.668,-5.628e-15,1.4486e+05
0.12879,-0.0070177,5.0031e-05,281.71,207.74,-10.665,-5.8785e-15,1.4486e+05
0.12907,-0.0067039,5.0031e-05,281.81,207.31,-10.622,3.5531e-16,1.4485e+05
0.1292,-0.0065627,5.0032e-05,281.86,207.06,-10.599,7.698e-15,1.4485e+05
0.12935,-0.0063901,5.0032e-05,281.93,206.75,-10.57,9.6447e-15,1.4485e+05
0.12963,-0.0060772,5.0033e-05,282.08,206.04,-10.507,8.1986e-15,1.4485e+05
0.12963,-0.0060762,5.0033e-05,282.09,206.03,-10.507,8.2008e-15,1.4485e+05
0.1299,-0.0057624,5.0033e-05,282.28,205.1,-10.428,-6.716e-17,1.4485e+05
0.13006,-0.0055858,5.0034e-05,282.42,204.42,-10.374,-7.3609e-15,1.4485e+05
0.13018,-0.0054486,5.0034e-05,282.54,203.89,-10.332,-8.7311e-15,1.4485e+05
0.13046,-0.0051348,5.0035e-05,282.86,202.31,-10.211,1.1475e-14,1.4485e+05
0.1305,-0.0050884,5.0035e-05,282.93,202,-10.188,1.3026e-14,1.4485e+05
0.13074,-0.004821,5.0035e-05,283.29,200.23,-10.058,1.9628e-14,1.4485e+05
